NOMMO	N AA M OW
ERTAKES	AH R T EY K S
DIGIFONE	D IH JH AH F OW N
RIPPEDBLACK	R IH P EH D B L AE K
KOMBUCHA	K AA M B AH CH AH
HEARETH	HH IH ER IH TH
NER	N EH R
LEASEON	L IY S AO N
IMMORTELLES	IH M AO R T AH L Z
CONSIDERD	K AA N S IH D AH R D
UNAFFRIGHTED	AH N AE F R AY T AH D
JAVELINAS	JH AH V EH L AH N AH Z
KICKWHERE	K IH K W HH AH R
ONETWOTHREEFOURFIVE	AH N EH T W AA TH R AH F AH R F AH V
GRYPT	G R IH P T
WINGBUT	W IH N G AH T
OPPE	AA P
SCRUFF	S K R AH F
KILLAS	K IH L AH Z
PINCURLS	P IH N K ER L Z
DMYTRYK	D M IH T R AH K
MORETO	M AO R AH T OW
94	N AY N F OW R
LIKKER	L IH K AH R
SOMETHINGABOUT	S AH M TH IH NG AH B AW T
SPRINGBUT	S P R IH N G AH T
ÞOKUR	AA K AH R
AGUS	EY G AH S
DRENT	D R EH N T
CLOTHESPINS	K L OW DH S P IH N Z
ENTAILMENT	IH N T EY L M AH N T
SAYTO	S EY T OW
LOOZIANA	L UW Z IY AH N AH
LINEON	L AY N AO N
APPLI	AE P L IY
SCUFFING	S K AH F IH NG
COULDHOLD	K OW AH L D HH OW L D
ANYBEAUTY	AH N IH B IY UW T IY
LECHIS	L EH CH AH S
OCHUN	AA CH AH N
DILUVIAL	D AH L UW V IY AH L
CHURLS	CH AH R L Z
MOTHERSHIPWOULD	M AH TH AH R SH AH P W OW L D
+++++++++++++	
WAITING/COUNTING	W EY T IH NG K AW N T IH NG
ZOWIE	Z OW AY
LIFE/HOUSE	L AY F HH AW S
RENSHELS	R IH N SH EH L Z
FURYAND	F Y UH R AY AH N D
SILKSCREEN	S IH L K S K R IY N
TOURISTY	T UH R IH S T IY
RÍO	R OW
HEARCHILDREN	HH IH ER CH IH L D R AH N
TREACH	T R IY CH
DIONYSIANS	D AY AH N IH S IY AH N Z
INDISTINCTNESS	IH N D IH S T IH NG K T N AH S
RAQQA	R AE K AH
COOL/GIVE	K UW L G IH V
TRILLSAND	T R IH L S AE N D
GANCH	G AE N CH
BALAT	B AE L AH T
NURSEFOR	N ER S F AO R
DEWSOAKED	D UW S OW K T
CHECKPOINTA	CH EH K OY N T AH
CLEARI	K L IY R IY
TRIUMPHALS	T R AY AH M F AH L Z
UNPRECEDENTEDMASS	AH N P R EH S AH D EH N T AH D M AE S
STARBASE	S T AA R B EY S
STREAMLET	S T R IY M L AH T
WINDFUCKER	W IH N D F AH K ER
IMBALMD	IH M B AE L M D
UNDESCRIBABLE	AH N D IY S K R AY B AH B AH L
40IN	F OW R Z IY R OW AY EH N
INVESTIGARON	IH N V EH S T AH G ER AO N
*IT	IH T
/EX	EH K S
LACKOF	L AE K AH F
SHAREDA	SH AE R AH D AH
DIRECTOUR	D AH R EH K T AH R
RÉUNION	R UW N Y AH N
HINTEDAT	HH IH N T AH D AH T
YESTERMORN	Y EH S T AH R M AH R N
TRALEE	T R EY L IY IY
THESMOLDERING	DH AH Z M OW L D ER IH NG
KINFOLK	K IH N F OW K
AMOROUSLY	AE M AH R AH S L IY
LINGAM	L IH N G AH M
PROFYT	P R OW F IH T
WILDSTYLE	W AY L D S T AY L
KNOUT	N AW T
VERIFI	V EH R AH F IY
HELPOUTSIDE	HH EH L P AW T S AY D
THUNDERERS	TH AH N D ER ER Z
STARLINGS	S T AA R L IH NG Z
AREWE	AE R UW
SLOTHFULNESS	S L OW TH F AH L N AH S
UNSIGHTLYAPPEARANCE	AH N S AY T L IY AH P IH ER AH N S
PÚRFILED	P R F AY L D
UPONDOWN	AH P AO N D AW N
13+3+3	W AH N TH R IY TH R IY TH R IY
SATYRICAL	S AE T IY R AY S AH L
REPLI	R IH P L IY
HURRAHS	HH UH R AA Z
BIRDMONGERS	B ER D M AH NG G ER Z
SOLITARIE	S AH L IH T AH R AY
DARKYOU	D AA R K AY UW
SHALLOWLY	SH AE L OW L IY
SOLIDNESS	S AA L AH D N AH S
1539	W AH N F AY V TH R IY N AY N
HEARTHARISE	HH AA R TH AH R AY Z
BEMY	B IY M IY
KINDREACH	K AY N D R IY CH
DIELECTRICS	D IY L EH K T R AH S Z
CESS	S EH S
ESLOYGNE	EH Z L OY N
SHADEWHOSE	SH AE D Y AH HH OW Z
MARKETNEAR	M AA R K AH T N IH ER
UNFULFILL	AH N F UH L F IH L
ISAID	AY Z EY D
COLLALLAPSING	K AA L AE L AE P S AH NG
ALIS	EY L IY Z
AGAINSTGUN	AH G EY N S T G AH N
TARTANS	T AA R T AE N Z
HOUSEYOU	HH AW S EY UW
UNHEIMLICHKEIT	AH N HH IY M L AH CH IY T
SEAVENS	S IY V AH N Z
GETHER	JH EH DH AH R
TIREWHATEVER	T AH R UW HH AH T IY V AH R
ECOLOGIES	AH K AA L AH JH AY Z
CRYCOME	K R AY K AH M
GALINGALE	G AE L IH N G EY L
STORD	S T AO R D
ACROPOLISI	AE K R AH P AA L AH S IY
BELARUSIAN	B AH L AH R AH S IY AH N
LUCENCY	L UW S AH N S IY
FALSHOOD	F AE L S UH D
NYMPHFLIES	N IH M F L AY Z
QUESTO	K W EH S T OW
HEADSJUST	HH EH D Z JH AH S T
WHEET	W IY T
HM/BM/MMMMM	EY CH EH M B IY EH M EH M EH M EH M EH M
BUTTERNUT	B AH T ER N AH T
UNPARDONABLE	AH N P AA R D AH N AH B AH L
SHEDDED	SH EH D IH D
SUBLIMEWHILE	S AH B L IH M Y UW AH L
HALYARDS	HH AE L AY AH R D Z
ÉCLAIR	K L AE AH R
HAIRIER	HH EY R IY ER
TREESPOEMS	T R IY Z P OW AH M Z
VERLOREN	V AH R L AH R AH N
CATNAPS	K AE T N AE P S
BROOKIN	B R UH K IH N
FURNISHEDWITH	F ER N IH SH T W IH TH
UNRESISTED	AH N R IH Z IH S T IH D
OCCURSWHEN	AA K AH R S W AH N
ERECHTITES	EH R AH CH T AY T S
TUNNELHER	T AH N AH L AH R
HAMITES	HH AH M AY T S
STILLNOR	S T IH L N AH R
ISINGLASS	IH Z IH NG L AE S
BLALE	B L EY L
LITTLEBIRD	L IH T AH L B ER D
BONNETED	B AA N AH T IH D
JACKSELF	JH AE K S EH L F
CAPORALS	K EY P ER AH L Z
CHINGADO	CH IH N G AH D OW
BOOTHEEL	B UW T HH IY L
NEWSFOLLOWS	N UW Z F AA L OW Z
TATTEREDBOWED	T AE T ER D B AW D
PORTIONSHAKING	P OW R SH AH N SH EY K IH NG
HEREUNRECOGNIZED	HH IY R UW N R EH K AH G N AY Z D
SIONS	S AY AH N Z
DYERE	D AY AH R
BASSLINE	B EY S L AY N
ERGROWN	AH R G R OW N
CARIOUSCANINES	K EH R IY AH S K EY N AY N Z
SHLOCK	SH L AA K
THOUGHTED	TH AO T IH D
COLLECTIVIZING	K AA L IH K T IH V AY Z IH NG
COUNTRYOF	K OW AH N T R AY AH F
VERRAI	V EH R EY
CINQUEFOIL	S IH NG K W AH F OY L
KABOB	K AE B AH B
UFFIZI	AH F AH Z IY
DISTANCEMISSING	D IH S T AH N S M IH S IH NG
SHADOWAY	SH AH D OW EY IY
*DAILY	D EY L IY
GUESSD	G Y UW AH S D
SHONNE	SH AA N
HOSENTASCHE	HH AH S EH N T AH S
MOUS	M OW AH S
VERMINT	V AH R M AH N T
WHICHOF	W IH CH AH F
ALLAS	AE L AH Z
CHEWINK	CH UW IH NG K
JEEPNIES	JH IY P N AY Z
WOMB/	W UW M
MOROLES	M AH R OW L Z
FINDTHAT	F IH N D TH AH T
EROGENOUS	AH R AA JH AH N AH S
TRANSEPT	T R AE N S EH P T
BACKSTREET	B AE K S T R IY T
BRIGHT'ND	B R AY T N D
FINGERSLETTING	F IH NG G ER Z L AH T IH NG
TURFED	T ER F T
AESTHETICIZE	EH S TH EH T IH K AY Z
USURPERS	Y UH S ER P ER Z
SOUPLE	S UW P AH L
POISONIN	P OY Z AH N IH N
PALMFUL	P AA M F AH L
TRIGONOMETRY	T R IH G AH N AH M EH T R IY
BOTCHES	B AA CH AH Z
DRIVYNGE	D R IH V AH N JH
SOCIETIE	S OW S IY T AY
DISTRUSTING	D IH S T R AH S T IH NG
BINGO/PULL	B IH N G OW P UH L
'MAKETH	M AE K AH TH
VERMAG	V AH R M AH G
DUVET	D Y UW V AH T
SHARPENEDTEETH	SH AA R P AH N D T IY TH
PARAKEETSAND	P AE R AH K IY T S AE N D
FINALLYTAKE	F IH N AH L AY T EY K
COYNESS	K OY N AH S
RUBEREDUCING	R UW B R IH D UW S IH NG
UNSPRINGY	AH N S P R IH NG IY
'GET	JH EH T
FOUROUNCES	F OW R AW N S IH Z
PRAXED	P R AE K S T
SINKHOLED	S IH NG K HH OW L D
FRIENDA	F R IY N D AH
INCIPIENTLY	IH N S IH P IY AH N T L IY
AARAV	AA R AH V
ROSEBUDS	R OW Z B AH D Z
EARSPLITTING	IH ER S P L IH T IH NG
ALONERECEIVED	AH L OW N R IH S IY V D
BUKKAKE	B AH K EY K
MATTERHOW	M AE T AH R OW
CÆSAR	K S AA R
LUSTFULL	L AH S T F UH L
CONSENTE	K AA N S EH N T
HEISSEM	HH IY S AH M
FRINGY	F R IH N JH IY
IVIES	AY V IY Z
UPTURNED	AH P T ER N D
FLOODSOF	F L UW D S AH F
CONSIDEREST	K AH N S IH D ER AH S T
SOMEHUGE	S AA M AH HH Y UW JH
GIFTTO	JH IH F T OW
STREAMBEDS	S T R IY M B EH D Z
CONMIGO	K AA N M IH G OW
REVEALTHOSE	R AH V EH L TH OW Z
BOURGEON	B AH R JH AH N
MOMENTOS	M AH M EH N T OW Z
UNTUNED	AH N T UW N D
DISCOMMENDABLE	D IH S K AH M EH N D AH B AH L
ESP	EH S
HYPERSALIVATION	HH AY P ER S AE L AH V EY SH AH N
VEDIC	V IY D AH K
DAMNABLE	D AE M AH B AH L
SOMEDAYOF	S AH M EH D EY AH F
ORIGAMIED	AH R IH G AH M AY D
SANGFROID	S AE N G F R OY D
FURBALLS	F ER B AO L Z
CAGILY	K EY JH IY L IY
LIFTEDLIKE	L IH F T IH D L AY K
PELONA	P EH L AH N AH
AMAZETH	AH M EY Z IH TH
REKIA	R AH K AY AH
SOMERSETSHIRE	S AH M ER S EH T SH AY ER
ORDAINE	AO R D EY N
SHADISM	SH EY D IH Z AH M
PENCTE	P EH NG K T
BELIEV	B AH L IY V
IMPETIGO	IH M P EH T AH G OW
DAYIS	D EY IY Z
DIMENSIONLESS	D AH M EH N CH AH N L AH S
ROULE	R OW UW L
FILKIN	F IH L K AH N
SLAUGHTEROUS	S L AO T ER AH S
ARABESQUES	AE R AH B EH S K S
RACOONS	R AH K UW N Z
FŒTOR	F T AO R
SNOWON	S N OW AO N
HUSSERLIANS	HH AH S AH R L IY AH N Z
BEAKFUL	B AH AE K AH L
PANNICLES	P AE N AH K AH L Z
CAMILLAS	K AH M IH L AH Z
PEAKÈD	P IY K D
MINUTENESS	M IH N AH T N AH S
LICÓUR	L IH K AH R
HEEDLESS	HH IY D L AH S
PITIES	P IH T IY Z
DOIVENT	D OW IH V AH N T
SYMPER	S IH M P AH R
ABHORRING	AH B HH AO R IH NG
CABEZA	K AE B AH Z AH
HAIR/	HH EH R
BREL	B R EH L
KRISTEVA	K R IH S T AH V AH
FLEDG	F L EH JH
DISFUNCTIONAL	D IH S F AH NG K SH AH N AH L
MEEKIN	M IY K IH N
MATEQUALS	M AE T IY K W AH L Z
PSUEDO	S UW AH D OW
EXHALING	EH K S HH EY L IH NG
BLOOMSSO	B L UW M S OW
MAKINGAT	M AH K IH N G AH T
GRINNEDAND	G R IH N AH D AH N D
SOMETHINGI	S AA M AH TH IH N JH IY
ENLIGHT'ND	IH N L AY T N D
MARTÍN	M AA R T N
UNSALT	AH N S AO L T
ARTILLERIST	AA R T IH L ER IH S T
REASSUR	R IY AE S AH R
DISPRAIS	D IH S P R EY Z
BACKSCUTTLE	B AE K S K AH T AH L
CORNUS	K AO R N AH S
SINCEREWITH	S IH N S IH ER W IH TH
NASALITY	N EY Z AH L AH T IY
TH'EARTH	TH AH R TH
FLOATSHOE	F L OW T SH UW
ENCLINE	IH N K L AY N
STUFFIN	S T AH F IH N
VOYAGEUR	V W AA Y AA ZH ER
HICCUPING	HH IH K AH P IH NG
SUFFYSETH	S AH F AH Z AH TH
CAROLLING	K AE R AH L IH NG
WRITERSWHO	R AH T AH R S W HH OW
BEIF	B AH IH F
KNOWIT	N OW AH T
WIENIE	W IY N AY
KAYAKIS	K EY AH K AH S
FOOTCANDLES	F UH T K AE N D AH L Z
JACOPO	JH AE K AH P OW
JEHANGIR	JH AH HH AE N JH AH R
HER–THE	HH AH R DH
KOORDS	K UH R D Z
GIORGIONE	JH AY AO R JH IY OW N
DELIQUESCING	D IH L AH K EH S AH NG
HINDSIDE	HH AY N D S AY D
MARAT	M AE R AH T
INQUIETUDES	IH N K W AY AH T UW D Z
RUSHLIGHTITUDE	R AH SH L AY T AH T UW D
CALLOUSES	K AE L AH S IH Z
SAYTHIS	S EY TH IY Z
HELDIN	HH EH L D IH N
QUAH	K W AA
SERUANTS	S AH R UW W AH N T S
VOMITINGFROM	V AA M AH T IH N G F R AH M
WOUDA	W AW D AH
UNEXPRESSIVE	AH N IH K S P R EH S IH V
CIRCLEIS	S ER K AH L IY Z
FORESTATION	F AO R AH S T EY SH AH N
­EYED	AY D
LAVENDERED	L AE V AH N D ER D
LITTLECRAZY	L IH T AH L K R EY Z IY
CICALE	S AH K EY L
PALEIN	P EY L IH N
HOLDMEHOLDMEHOLDME	HH OW L D M AH HH OW L D M AH HH OW L D M
LAUNDRYAS	L AO N D R AY AH Z
MAJNUN	M AE JH N AH N
ALIKENESS	AH L AY K N AH S
PREVENIENT	P R IY V IY N IY AH N T
REGNUM	R EH G N AH M
IMPAL	IH M P AE L
AUDACIOUSLY	AO D AH S IY AH S L IY
LIONESS	L AY AH N AH S
AREAVAST	AH R IY AH V AE S T
CITYTHE	S IH T AH DH
PYN	P IH N
NEWZ	N Y UW Z
DOGWORK	D AO G W ER K
OUTFOLDING	AW T F OW L D IH NG
NIGGLE	N IH G AH L
UNCAP	AH N K AE P
STAIES	S T EY Z
SKIN/DROWN	S K IH N D R AW N
INTELLIGENCES	IH N T EH L AH JH AH N S IH Z
LINESSKIPPING	L AY N Z S K IH P IH NG
TREEBOUND	T R IY B AW N D
LEACE	L IY AH S
MÉLANCOLIQUE	M L AE NG K AH L AH K
BEULAHS	B AH Y UW L AH Z
THOUGHTHIS	TH AO TH AH S
GLIMMERED	G L IH M ER D
UNPLEASEABLE	AH N P L IY Z AH B AH L
WALLADRAWS	W AO L AH D R AO Z
REÁL	R EH L
ROKY	R OW K IY
DISFIGURES	D IH S F IH G Y ER Z
DRAGONFLIES	D R AE G AH N F L AY Z
BEGYNNETH	B AH JH IH N AH TH
WSID	W S IH D
DÍGAME	JH EY M
SEDUC	S EH D AH K
MALBEC	M AE L B EH K
PHŒNIX	F N IH K S
7:21	S EH V AH N T UW W AH N
SHOULDA	SH OW L D AH
PERIMEDES	P AH R AH M IY D Z
INEBRIATION	AH N EH B R AY EY SH AH N
LINIT	L IH N AH T
BOYSTOO	B OY S T UW
PRODIGUS	P R OW D AY G AH S
GLASSINE	G L AE S AY N
PINESLIKE	P AY N Z L AY K
ONE–OF	OW N IY AH F
SHH	EH S EY CH
ANTIPHONIST	AE N T AY F OW N IH S T
REPONSES	R EH P AO N Z IH Z
SUEWHEN	S UW AH W AH N
BE/	B IY
CRUELNES	K R UW AH L N Z
758	S EH V AH N F AY V EY T
TUMID	T UW M AH D
URINALS	Y UH R AH N AH L Z
BICHOS	B AY CH AA Z
TOMARRY	T OW M ER R IY
HORNYHANDED	HH AO R N IY HH AE N D IH D
TENEBRAE	T AH N EH B R IY
COMPUNCTIOUS	K AA M P AH NG K AH S
DROWN'D	D R AW N D
DISPORTING	D IH S P OW R T IH NG
PINCE	P IH N S
BRUIS	B R UW W AH S
AMERICANSGEOGRAPHY	AH M EH R AH K AH N Z JH IY AA G R AH F IY
DUNNOTTAR	D AH N AA T AH R
URETHANED	Y UH R AH TH EY N D
RISSEL	R IH S AH L
MUHFUCKAS	M AH F AH K AH Z
SLUMBROUS	S L AH M B R AH S
LODGETHEY	L AA JH AH TH IY
THINKSHE	TH IH NG K
MAGICS	M AE JH IH K S
PANELIKE	P EY N L AY K
STRINGTOWARDS	S T R IH NG T AH W AO R D Z
1950ISH	W AH N AY N F AY V Z IY R OW AY EH S EY CH
AFRIQUE	AE F R AH K
FIRMAMENT	F AH R M AH M AH N T
HEIRARCHIES	EH R AA R CH IY Z
DAWG	D AO G
SIGA	S IH G AH
STREWNEVEN	S T R UW N IY V AH N
ISMUCH	AY Z M AH CH
PROMONTORIE	P R OW M AA N T IY ER IY
RHEUMS	R UW M Z
CLUBMAN	K L AH B M AE N
GOSHAWKHUGE	G OW Z HH AO K HH Y UW JH
CLINKOR	K L IH NG K ER
CEILINGED	S EH L IH NG D
STILLTO	S T IH L T OW
VEXATIONS	V EH K S EY SH AH N Z
SHEENY	SH IY N IY
TUFFETS	T AH F AH T S
FOUILLER	F AW IH L AH R
BARMAID	B AA R M EY D
GILLYFLOWERS	G IH L IY F L AW ER Z
SOZIALISMUS	S OW Z IY AH L IH Z M AH S
WALLSEVEN	W AO L S EH V AH N
TUMBAO	T AH M B EY OW
MOURND	M AH R N D
WIF	W IH F
STOUTER	S T AW T ER
CURDLE	K ER D AH L
FEELINGEAST	F IY L IH NG IY S T
CENOTE	S AH N OW T
EQUIDISTANT	IY K W AH D IH S T AH N T
15KMS	W AH N F AY V K EY EH M EH S
SUCHE	S AH CH
BREATHTHEN	B R EH TH AH N
UNTILFALL	AH N T IH L F AH L
EMPYREAN	IH M P AY R IY AH N
IMAGESO	AH M AE JH AH S OW
RANE	R EY N
CONTENTSJAPANESE	K AA N T EH N T S JH AE P AH N IY Z
COATAS	K OW AE T AH Z
JARREST	JH AA R AH S T
GELACHT	JH EH L AH CH T
BLACKOUTWHEN	B L AE K AW T W AH N
BUGLER	B Y UW G AH L ER
FEETOVER	F IY T OW V ER
TRANSFIGURED	T R AE N S F IH G Y ER D
DAYTHE	D EY DH
FOPPISH	F AA P IH SH
I/M	AY M
UNFAVOURABLE	AH N F EY V ER AH B AH L
HARDTILL	HH AA R D T IH L
EUGLENA	Y UW G L AH N AH
REVEALEST	R IH V IY L AH S T
METALTOTAL	M EH T AH L T OW T AH L
HAINTED	HH EY N T AH D
DAWLISH	D AO L AH SH
REGIFT	R IY G IH F T
PERSUE	P ER S UW
THEYMISS	TH EY M AH S
162	W AH N S IH K S T UW
CHAFFARE	CH AE F AH R
DÉLICES	D L AY S AH Z
MOONMUTING	M UW N M Y UW T IH NG
UNREPLICABLE	AH N R EH P L AY S AH B AH L
BARELYWRITE	B AE R L IY R AY T
CODEINE	K OW D IY IH N
PLAINTS	P L EY N T S
HOMEBORN	HH OW M B AO R N
SERED	S IY R D
GASCONADE	G AE S K OW N EY D
OUBANGUI	AW B AE N G W IY
WHEELIE	W IY L IY
FIREBACK	F AY ER B AE K
WHUSHING	W AH SH AH NG
ENOUGHIT	AH N AW AH T
YOUFOR	Y AW F AH R
MIXOLOGISTWHO	M IH K S AH L AH JH IH S T W HH OW
RUMMYNGE	R AH M AH N JH
JODÍOS	JH AA D AH Z
CLIMB'ST	K L IH M B S T
3	TH R IY
LEAVEHIM	L IY V AH HH AH M
ABSORBALL	AH B Z AO R B AO L
SWELLSWITH	S W EH L Z W IH TH
FIDD	F IH D
NEGARE	N EH G AH R
FRAMEWITH	F R EY M W IH TH
MANTLED	M AE N T AH L D
BALSTING	B IY AH L S T IH NG
WQUARRELLING	W K W AO R EH L AH NG
BRIDLES	B R AY D AH L Z
TIUPAN	T AY UW P AH N
TRAS	T R AE Z
WINDEXED	W IH N D AH K S T
VASTAND	V AE S T AH N D
ABODES	AH B OW D Z
APÁ	AE P
TWOSLOWLY	T UW Z L OW L IY
SHOVELER	SH AH V AH L ER
REQUIREAS	R IH K W AH R IY Z
PHO	F OW
PENETRALIA	P EH N AH T R EY L Y AH
VOTRESS	V AA T R AH S
DISPROPORTIONS	D IH S P R OW P OW R SH AH N Z
FEELINGLY	F IY L IH NG L IY
DEEPS	D IY P S
BESSARABIA	B IH S AH R EY B IY AH
GULLIBILITY…	G AH L AH B IH L AH T IY
BEDFORDSHIRE	B EH D F OW R D SH AY ER
WATEROF	W AA T AH R AH F
ERCALL	AH R K AH L
7	S EH V AH N
USINTO	Y UW S IH N T OW
THRESHOLDOF	TH R AH SH OW L D AH F
KNEESLETTING	N IY Z L AH T IH NG
IVIED	AY V IY D
RETRACTOR	R IY T R AE K T ER
ASCAUNCES	AE S AO N S AH Z
•MOTHER	M AH DH ER
NUTS/	N AH T S
MANTEAUS	M AE N T IY AH S
HANGINGOVER	HH AE NG IH NG OW V ER
FAVILLA	F AH V IH L AH
CAPARISONED	K EY P EH R IY Z AO N D
NURSIE	N ER S IY
IISAID	IY S EY D
UNRESTFUL	AH N R EH S T F AH L
DISEMBARKED	D IH S IH M B AA R K T
CONJUR	K AA N JH AH R
427	F OW R T UW S EH V AH N
TRADESHIPS	T R EY D SH IH P S
KNITSHIS	N IH T SH AY Z
HULIANG	HH Y UW L IY AH NG
LEAVABLE	L IY V AH B AH L
ALEVEL	AH L EH V AH L
DEJECTIONS	D IH JH EH K SH AH N Z
INTAKEOF	IH N T EY K IY AH F
VISITANT	V IH Z AH T AH N T
UPÀ	AH P
HALLEVI	HH AE L AH V IY
D'AMOUR	D AE M AH R
HAMPDEN	HH AE M P D AH N
CHEST…	CH EH S T
BOMB/DOG	B AA M D AO G
INDIFFERENCEOF	IH N D IH F AH R EH N S IY AH F
NAMEIN	N EY M IH N
DARK'ND	D AA R K N D
GEWORDEN	JH UW AO R D AH N
PHYSIOGNOMY	F IH Z IY AA G N AH M IY
HEXAMETERS	HH EH K S AE M AH T ER Z
CERAMICTILES	S AH R AE M IH K T AY L Z
GRANDNIECE	G R AE N D N IY S
TORCHMEN	T AO R CH M EH N
ELME	EH L M
BENGALA	B IY AH N G AE L AH
CONSTANTLYIN	K AA N S T AH N T L IY IH N
UNHAPPIEST	AH N HH AE P IY AH S T
UNTHOUGHT	AH N TH AO T
COLLECTIONOF	K AA L EH K T IY AH N AH F
UNRESTBY	AH N R EH S T B AY
ARRHYTHMIC	AE R AH TH M AH K
GRESED	G R Z D
HOLDINGIS	HH OW L D IH NG IY Z
VERGED	V ER JH D
EASELESS	IY Z L AH S
ORANG	AO R AH NG
RYSE	R AY Z
BUSKIN	B AH S K IH N
PROTRUSION	P R OW T R UW ZH AH N
SUPREMA	S AH P R AH M AH
UNFASTENING	AH N F AE S AH N IH NG
THUSBY	DH AH S B AY
SOLEMNIZE	S AA L AH M AY Z
ÉTRE	T AH R
STÖSSLOVÁ	S T S L AA V
FURLONGED	F ER L AO NG D
UNBROIDERED	AH N B R OY D IY R D
REVOLUCÍON	R AH V AH L UW K AH N
PAPERWEIGHTS	P EY P ER W EY T S
CHÉVERE	CH V IH R
PRIMITOS	P R IH M AH T AH Z
SUCRETS	S AH K R AH T S
FLIESAROUND	F L AY Z AH R AW N D
GOATHERDS	G OW T HH ER D Z
O'ERLOOKING	AH AH R L AH K AH NG
OFFICIOUSLY	AH F IH SH AH S L IY
SUCCOTASH	S AH K AH T AH SH
CRYWAS	K R IH W AH Z
ENGAÑA	IH N G AA
MEDUSAES	M EH D Y AH S EY Z
SHENDE	SH EH N D
15TH	W AH N F AY V T IY EY CH
STOUNDE	S T AW N D
REFOLD	R IY F OW L D
1578–1644	W AH N F AY V S EH V AH N EY T W AH N S IH K S F OW R F OW R
STRONGAS	S T R AA N G AH Z
POWERWHICH	P OW AH R W HH AH CH
BREEZING	B R IY Z IH NG
PATTERNSAND	P AE T ER N S AE N D
TRUBLIT	T R AH B L AH T
KEDST	K EH D S T
ENOBL	AH N AA B L
STOUR	S T AW R
SUNRAYS	S AH N R EY Z
GOOSENECK	G UW S N EH K
WHERESOE'ER	W EH R AH S OW AH AH R
FARA	F AE R AH
EXPECTSI	IH K S EH K T S IY
HIGHI	HH AY IY
WATERA	W AA T AH R AH
JOURNIE	JH AH R N AY
OVERHILL	OW V ER HH IH L
CRAKES	K R EY K S
TRAINE	T R EY N
TONGUEPRESS	T AH NG P R EH S
PAINFULL	P EY N F UH L
UNDERSTOODNOTHING	AH N D ER S T UH D N AH TH IH NG
LABYRINTHS	L AE B AH R IH N TH S
SEÁN	S EH N
LORDLIEST	L AO R D L IY AH S T
MOUE	M AW
TH'EXTENT	TH EH K S T AH N T
BOOKI	B UH K IY
PLATZES	P L AE T S AH Z
EUCLIDEANS	Y UW K L AH D IY N Z
PELLEAS	P EH L IY Z
VALEI	V EY L IY
SPONGINESS	S P AH N JH IY N AH S
PROEM	P R OW EH M
REPACE	R IY P EY S
UNCLENCH	AH N K L EH N CH
BOWRS	B OW R Z
PRISED	P R AY Z D
AVOUCHED	AH V AW CH T
UNDEVOTED	AH N D IH V OW T IH D
'MENCED	M EH N S T
AIE	EY
VAHO	V AE HH OW
IAMB	AY AH M
RAZORBLADE	R EY Z ER B L EY D
LIMY	L AY M IY
CUBBY	K AH B IY
HEADSLOOKING	HH EH D Z L UH K IH NG
DEXTEROUS	D EH K S T ER AH S
DREAMEDA	D R IY M AH D AH
QUARE	K W AE R
TÍO	T UW
MILDEWBEHIND	M IH L D UW B IY HH AY N D
IMPORTUNITIES	IH M P ER T UW N AH T IY Z
BOANERGES	B OW N AH R JH AH Z
NEITHEROF	N IY TH AH R AH F
SGONE	S G OW N
UNMOVING	AH N M UW V IH NG
MUDGUARD	M AH D G AA R D
UNSCARRED	AH N S K AA R D
PRIVETS	P R IH V AH T S
UPSENT	AH P S EH N T
MORPHNUS	M AO R F N AH S
UMBIFEROUS	AH M B IH F AH R AH S
FRIGGIN	F R IH JH AH N
FAITHLESSNESS	F EY TH L AH S N AH S
PIAZZO	P AY AE Z OW
MULTIFURCATE	M AH L T AY F ER K EY T
THORNBJÖRG	TH AO R N B R G
NEKKE	N EH K
CHAIND	CH EY N D
AURAS	AO R AH Z
TINSELAND	T IH N S AH L AH N D
SUNNIER	S AH N IY ER
I…	AY
APPEERING	AE P AH R AH NG
INGS	IH NG Z
SNYBBEN	S N IH B AH N
STIFFENEDSTAINS	S T IH F AH N D S T EY N Z
INDECOROUSLY	IH N D EH K AH R AH S L IY
FERDINANDIES	F AH R D AH N AE N D AY Z
STRIPP	S T R IH P
TIMEWHAT	T IH M Y UW HH AH T
WINDOWNOOKS	W IH N D OW N UH K S
DOUBTFULNESS	D AW T F AH L N AH S
DOULCE	D OW L S
HOOOOOOOO	HH UW UW UW UW
SHOOSH	SH UW SH
MICROMILLIMETERS	M AY K R OW M IH L AH M IY T ER Z
SPERMATOZOON	S P AH R M AE T AH Z UW N
TELLST	T EH L S T
JUSTLING	JH AH S T L IH NG
RESEEDING	R IY S IY D IH NG
GRATEFU	G R AE T AH F UW
MAKST	M AE K S T
ADRIENNETHE	AE D R IY N AH DH
UNRIVALLED	AH N R AY V AH L D
WONNE	W AA N
MOTHER–HALF	M AH DH ER HH AE F
RARING	R EH R IH NG
FLEXURESFLEXURES	F L EH K SH ER Z F L EH K SH ER Z
GAINWARD	G EY N W ER D
BRINGSHER	B R IH N G SH AH R
DWELLYNGE	D W EH L AH N JH
SCHIZOPHRENICS	S K IH T S AH F R EH N IH K S
DRAMBUIE	D R AE M B UW
DEVANAGARI	D AH V AH N AE G AH R IY
PASTAND	P AE S T AH N D
LONGË	L AO NG
BOYMISTER	B OY M IH S T ER
ORRY	AO R IY
ARKNESS	AA R K N AH S
DIDEROT	D IH D AH R AH T
